  880.23  850.73  755.94  498.80  738.92  498.26  726.55  852.29
  879.82  852.00  757.30  503.13  740.67  502.62  728.54  853.51
  879.45  853.27  758.67  507.40  742.42  506.93  730.51  854.73
  879.11  854.54  760.06  511.63  744.16  511.18  732.47  855.96
  878.80  855.81  761.45  515.81  745.90  515.39  734.42  857.19
  878.53  857.08  762.85  519.94  747.64  519.55  736.35  858.41
  878.28  858.35  764.26  524.02  749.37  523.65  738.28  859.64
  878.07  859.62  765.68  528.05  751.09  527.71  740.19  860.87
  877.89  860.88  767.11  532.03  752.81  531.72  742.09  862.11
  877.73  862.15  768.53  535.97  754.52  535.68  743.98  863.34
  877.60  863.41  769.97  539.86  756.22  539.59  745.86  864.57
  877.51  864.67  771.40  543.71  757.92  543.45  747.73  865.79
  877.43  865.92  772.84  547.51  759.62  547.27  749.58  867.02
  877.39  867.17  774.29  551.26  761.30  551.04  751.43  868.25
  877.37  868.42  775.73  554.97  762.98  554.77  753.26  869.47
  877.37  869.67  777.18  558.64  764.66  558.45  755.08  870.69
  877.39  870.91  778.62  562.26  766.32  562.08  756.89  871.91
  877.44  872.15  780.07  565.84  767.98  565.67  758.69  873.13
  877.51  873.39  781.52  569.37  769.63  569.22  760.48  874.34
  877.61  874.62  782.97  572.86  771.28  572.73  762.26  875.55
  877.72  875.84  784.41  576.32  772.91  576.19  764.02  876.75
  877.85  877.06  785.85  579.72  774.54  579.61  765.77  877.95
  878.00  878.28  787.30  583.09  776.16  582.99  767.51  879.15
  878.17  879.49  788.73  586.42  777.77  586.33  769.24  880.34
  878.36  880.70  790.17  589.71  779.38  589.62  770.96  881.53
  878.56  881.90  791.60  592.96  780.97  592.88  772.67  882.72
  878.78  883.09  793.03  596.16  782.56  596.10  774.36  883.90
  879.02  884.28  794.46  599.33  784.14  599.28  776.05  885.07
  879.27  885.47  795.88  602.47  785.71  602.42  777.72  886.24
  879.53  886.65  797.30  605.56  787.27  605.52  779.38  887.41
  879.80  887.82  798.71  608.61  788.82  608.58  781.03  888.57
  880.09  888.99  800.11  611.63  790.36  611.61  782.66  889.72
  880.39  890.15  801.51  614.61  791.89  614.60  784.29  890.87
  880.71  891.30  802.91  617.56  793.42  617.55  785.90  892.01
  881.03  892.45  804.30  620.47  794.93  620.46  787.50  893.15
  881.36  893.59  805.68  623.34  796.43  623.34  789.08  894.28
  881.70  894.73  807.06  626.18  797.92  626.19  790.66  895.40
  882.06  895.86  808.43  628.99  799.41  629.00  792.22  896.52
  882.41  896.98  809.79  631.76  800.88  631.77  793.77  897.63
  882.78  898.09  811.14  634.49  802.34  634.51  795.31  898.73
  883.15  899.20  812.49  637.19  803.79  637.22  796.84  899.83
  883.53  900.30  813.83  639.86  805.23  639.90  798.35  900.92
  883.92  901.39  815.16  642.50  806.66  642.54  799.86  902.01
  884.31  902.48  816.48  645.10  808.08  645.14  801.34  903.09
  884.71  903.56  817.80  647.67  809.49  647.72  802.82  904.16
  885.11  904.63  819.10  650.21  810.89  650.26  804.29  905.22
  885.51  905.70  820.40  652.71  812.28  652.77  805.74  906.28
  885.92  906.75  821.69  655.19  813.65  655.25  807.18  907.33
  886.33  907.80  822.97  657.63  815.02  657.70  808.60  908.37
  886.74  908.85  824.24  660.05  816.37  660.12  810.02  909.40
  887.15  909.88  825.50  662.43  817.71  662.50  811.42  910.43
  887.57  910.91  826.76  664.78  819.04  664.86  812.80  911.45
  887.98  911.93  828.00  667.10  820.36  667.19  814.18  912.46
  888.40  912.94  829.23  669.39  821.67  669.48  815.54  913.47
  888.82  913.94  830.46  671.66  822.96  671.75  816.89  914.46
  889.23  914.93  831.67  673.89  824.25  673.99  818.23  915.45
  889.64  915.92  832.87  676.10  825.52  676.19  819.55  916.43
  890.06  916.90  834.07  678.27  826.78  678.37  820.86  917.40
  890.47  917.87  835.25  680.42  828.03  680.53  822.16  918.37
  890.87  918.83  836.42  682.54  829.26  682.65  823.44  919.33
  891.28  919.78  837.58  684.63  830.49  684.74  824.71  920.27
  891.68  920.73  838.73  686.69  831.70  686.81  825.97  921.21
  892.07  921.66  839.87  688.72  832.90  688.85  827.21  922.14
  892.46  922.59  841.00  690.73  834.09  690.86  828.44  923.07
  892.85  923.51  842.12  692.71  835.26  692.84  829.66  923.98
  893.23  924.42  843.23  694.66  836.42  694.80  830.87  924.89
  893.61  925.32  844.32  696.59  837.57  696.72  832.06  925.78
  893.97  926.21  845.41  698.49  838.71  698.63  833.23  926.67
  894.34  927.09  846.48  700.36  839.84  700.50  834.40  927.55
  894.69  927.97  847.54  702.20  840.95  702.35  835.54  928.42
  895.04  928.83  848.59  704.02  842.04  704.17  836.68  929.28
  895.38  929.69  849.62  705.81  843.13  705.96  837.80  930.13
  895.70  930.53  850.65  707.57  844.20  707.73  838.91  930.97
  896.02  931.37  851.66  709.31  845.26  709.47  840.00  931.80
  896.33  932.19  852.66  711.02  846.31  711.18  841.08  932.62
  896.63  933.01  853.65  712.70  847.34  712.87  842.15  933.43
  896.92  933.81  854.63  714.35  848.36  714.53  843.20  934.23
  897.19  934.61  855.59  715.98  849.36  716.17  844.23  935.03
  897.46  935.39  856.54  717.59  850.35  717.77  845.26  935.81
  897.71  936.16  857.48  719.16  851.33  719.35  846.26  936.58
  897.94  936.93  858.40  720.71  852.29  720.91  847.25  937.34
  898.17  937.68  859.31  722.23  853.24  722.43  848.23  938.09
  898.37  938.42  860.21  723.72  854.17  723.93  849.19  938.82
  898.56  939.15  861.09  725.19  855.09  725.40  850.14  939.55
  898.74  939.87  861.96  726.63  855.99  726.85  851.07  940.26
  898.89  940.57  862.81  728.04  856.88  728.26  851.98  940.97
  899.03  941.26  863.65  729.42  857.75  729.65  852.88  941.66
  899.14  941.94  864.48  730.77  858.61  731.01  853.76  942.33
